organizationId,organizationName,id,name,description,address,city,state,zip,latitude,longitude,type,updatedAt,updatedAtHuman,categories,revenue,ein
568040,Razias Ray of Hope Foundation,568040,Razias Ray of Hope Foundation,"Part 1: a non-profit organziation committed to improve the lives of women and children in afghanistan. - Part 3: razia's ray of hope foundation is a non-profit organization dedicated to improving the lives of women and children in afghanistan through community-based education. Focused on the afghan village of deh'subz, the organization was founded on the belief that education is key to positive, peaceful change for current and future generations. The foundation strives to provide opportunities to learn and grow in a safe, nurturing environment, empowering girls and women through education and resources so that they May work toward brighter futures - in their own villages and beyond.",PO Box 81052,Wellesley Hls,MA,02481,0.001,0.001,organization,2023-10-10 20:19:28,1 month ago,WEDUC,5800777,262008030
1939961,National Council for Incarcerated and Formerly Incarcerated Women,1939961,National Council for Incarcerated and Formerly Incarcerated Women,Part 1: the mission of the national council for incarcerated and formerly incarcerated women and girls (the national council) is to end incarceration of women and girls. - Part 3: the mission of the national council for incarcerated and formerly incarcerated women and girls (national council) is to end incarceration of women and girls.,100r Warren St,Roxbury,MA,02119,42.328050999999995,-71.084011,organization,2023-10-10 20:40:43,1 month ago,GV,5473173,813980673
1739088,The Academy at Penguin Hall Inc,1739088,The Academy at Penguin Hall Inc,"Part 1: to educate, enlighten and empoer young women to lead and live exemplary lives. - Part 3: to educate, enlighten and empower young women to lead and live exemplary lives.",36 Essex St,Wenham,MA,01984,42.595206999999995,-70.84783999999999,organization,2023-10-10 20:39:49,1 month ago,WEDUC,4883970,810729618
1945863,New Hope Inc,1945863,New Hope Inc,"Part 1: new hope's mission is dedicated to helping survivors of domestic and sexual violence heal from the trauma of abuse, understand the impact of abuse on their lives and rebuild lives free from violence. Our services include a 24/7 hotline, emergency shelter, counseling, hospital, court and police advocacy, housing advocacy, safety planning, prevention education, supervised visitation, and intimate partner abuse education. We also provide referrals to other services, as appropriate. We serve anyone who is a survivor and/or their family members, without regard to age, sex, gender or gender expression, sexual orientation, immigration status, language, ability, and/or religion.",247 Maple St,Attleboro,MA,02703,41.936935999999996,-71.26309599999999,organization,2023-10-10 20:12:29,1 month ago,WHSV,4860773,042681340
1058318,Roxbury Stone House Inc,1058318,Roxbury Stone House Inc,"Part 1: continuum of care for adult and child survivors of domestic violence. - Part 3: the roxbury stone house partners with adult and child survivors of domestic violence and related trauma - mental illness, housing instability and substance misuse - to achieve safety, stability, and overall wellbeing, thereby contributing to the strength, resiliency, and health of the community we serve.",PO Box 300039,Jamaica Plain,MA,02130,0.001,-0.001,organization,2023-10-10 20:32:02,1 month ago,WHSV,4304043,510192418
412897,Womens Lunch Place Inc,412897,Womens Lunch Place Inc,"Part 1: safe day shelter providing meals & critical services to women experiencing homelessness or poverty. - Part 3: at wlp we view diversity through a wide lens and accept every woman regardless of race, national origin, immigration status, age, ethnicity, gender identity, sexual orientation, disability, faith, criminal history and educational background. We provide services to women living in extreme poverty who are homeless or at risk of becoming homeless. More than 50% are currently homeless and the remainder are living in transitional housing or subsidized housing. 80% report histories of trauma and significant loss. Many struggle with mental illness, addiction and disabilities, with 42% receiving ssi or ssdi benefits. More than 35% are women age 61 or older. Boston public health commissions 2016 report on the ""health of boston"" identified key determinants that significantly impact an individuals health and specifically capture the risk factors faced by women at wlp. Risk factors include exposure to violence, lack of income, lack of access to healthy food, safe housing, and quality health care.",20 Park Plaza,Boston,MA,02116,42.35247,-71.06981,organization,2023-10-10 20:16:08,1 month ago,WHSV,4155871,222514148
1945808,New Bedford Womens Center Inc the Womens Center,1945808,New Bedford Womens Center Inc the Womens Center,Part 1: to empower and support positive choices for all and to educate and take action in the community for the prevention of oppression and violence.,405 County St,New Bedford,MA,02740,41.630386,-70.92857199999999,organization,2023-10-10 20:12:28,1 month ago,GV,3778859,042557022
1945804,Healthquarters Inc,1945804,Healthquarters Inc,Part 1: health quarters is committed to providing sexual and reproductive healthcare without judgment or barriers.,100 Cummings Ctr Ste 220b,Beverly,MA,01915,42.558237000000005,-70.88494399999999,organization,2023-10-10 20:12:28,1 month ago,WHLTH,3713361,042475363
1945355,Victim Rights Law Center Inc,1945355,Victim Rights Law Center Inc,Part 1: the vrlc's mission is to provide legal representation to victims of rape and sexual assault to help rebuild their lives; and to promote a national movement committed to seeking justice for every rape and sexual assault victim.,11 Beacon St Ste 520,Boston,MA,02108,42.358083,-71.053167,organization,2023-10-10 20:12:12,1 month ago,GV,3672753,020588944
1945784,Big Sister Association of Greater Boston Inc,1945784,Big Sister Association of Greater Boston Inc,Part 1: big sister's mission is to ignite girls' passion and power to succeed through positive mentoring relationships with women and enrichment programs that support girls' healthy development.,20 Park Plz Ste 1420,Boston,MA,02116,-0.001,-0.001,organization,2023-10-10 20:12:28,1 month ago,GIRL,3629766,042150651
